epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.745,3.48327,10.4929,1.33762,0.00078,0.23529,0.00054,0.00023,2.94456,6.96511,1.12755,6e-05,6e-05,6e-05
2,24.3818,2.69593,7.62714,1.18082,0.00176,0.52941,0.00227,0.00079,2.05361,5.74541,0.95382,0.000137228,0.000137228,0.000137228
3,35.046,2.254,6.1506,1.04731,0.00216,0.64706,0.00495,0.00148,1.75153,5.25877,0.9139,0.000211288,0.000211288,0.000211288
4,45.7685,2.38302,5.36333,1.04305,0.00216,0.64706,0.00449,0.00162,1.8668,5.19324,0.915,0.00028218,0.00028218,0.00028218
5,56.4328,2.36021,4.63142,1.02501,0.00216,0.64706,0.0053,0.00186,1.93017,5.19446,0.90251,0.000349904,0.000349904,0.000349904
6,67.1451,2.27327,4.14362,0.9829,0.00176,0.52941,0.00341,0.00121,1.91777,5.44859,0.90954,0.00041446,0.00041446,0.00041446
7,78.0336,1.98263,3.9242,0.95763,0.00176,0.52941,0.00308,0.00101,2.0288,5.65691,0.95216,0.000475848,0.000475848,0.000475848
8,88.7097,2.1407,3.69254,0.97429,0.00157,0.47059,0.00289,0.00083,2.02679,5.60405,0.95294,0.000534068,0.000534068,0.000534068
9,99.1898,1.91371,3.4669,0.95037,0.00098,0.29412,0.00133,0.00046,1.83265,5.58196,0.94244,0.00058912,0.00058912,0.00058912
10,109.716,1.77448,3.067,0.9083,0.00157,0.47059,0.00245,0.00096,1.88164,5.34909,0.91551,0.000641004,0.000641004,0.000641004
11,120.274,1.92242,3.1873,0.98879,0.00196,0.58824,0.00359,0.00119,1.8814,5.18155,0.8945,0.00068972,0.00068972,0.00068972
12,130.846,1.94592,3.23303,0.94021,0.00235,0.70588,0.00362,0.00105,1.89143,5.07424,0.8974,0.000735268,0.000735268,0.000735268
13,141.375,1.80098,2.88411,0.95218,0.00255,0.76471,0.00455,0.00177,1.86354,4.9082,0.90612,0.000777648,0.000777648,0.000777648
14,151.868,1.87006,2.89003,0.9455,0.00255,0.76471,0.00452,0.002,1.88016,4.87458,0.90845,0.00081686,0.00081686,0.00081686
15,162.421,1.91151,3.00221,0.93411,0.00255,0.76471,0.00497,0.00204,1.71532,4.56134,0.88804,0.000852904,0.000852904,0.000852904
16,172.906,1.77748,2.7077,0.94053,0.00235,0.70588,0.00716,0.00226,1.91395,4.64154,0.91086,0.00088578,0.00088578,0.00088578
17,183.353,1.8435,2.63445,0.91657,0.00255,0.76471,0.17877,0.04212,2.10771,4.4616,0.93905,0.000915488,0.000915488,0.000915488
18,193.994,1.74114,2.45402,0.88541,0.00255,0.76471,0.44405,0.2223,1.81526,4.03572,0.92241,0.000942028,0.000942028,0.000942028
19,204.553,1.7961,2.72305,0.94843,0.00255,0.76471,0.45992,0.25866,1.9053,3.99581,0.93874,0.0009654,0.0009654,0.0009654
20,215.108,1.72546,2.50053,0.90891,0.00275,0.82353,0.56493,0.30661,1.87087,3.77538,0.94404,0.000985604,0.000985604,0.000985604
21,225.706,1.84264,2.7984,0.8942,0.72774,0.47179,0.57712,0.258,2.12868,3.69738,0.96973,0.00100264,0.00100264,0.00100264
22,236.146,1.70684,2.56614,0.90212,0.80935,0.25179,0.62359,0.29857,1.9892,3.3625,0.9474,0.00101651,0.00101651,0.00101651
23,246.673,1.91087,2.51481,0.98109,0.88995,0.47621,0.65178,0.31603,1.89104,3.15152,0.93957,0.00102721,0.00102721,0.00102721
24,257.18,1.89829,2.48334,0.94171,0.89485,0.50217,0.68825,0.33037,1.91365,3.06237,0.95006,0.00103474,0.00103474,0.00103474
25,267.691,1.78641,2.42614,0.90391,0.91739,0.65369,0.71258,0.29455,1.94685,2.98366,0.95001,0.0010391,0.0010391,0.0010391
26,278.243,1.82349,2.41507,0.93278,0.92036,0.68091,0.7154,0.30441,1.89287,2.8652,0.94494,0.00101,0.00101,0.00101
27,288.777,1.79715,2.05022,0.92239,1,0.76637,0.82577,0.39222,1.75883,2.59772,0.93256,0.0009704,0.0009704,0.0009704
28,299.188,1.69818,2.17541,0.94771,1,0.74819,0.82583,0.40111,1.72411,2.60595,0.92305,0.0009308,0.0009308,0.0009308
29,309.685,1.69809,2.14759,0.90828,1,0.78234,0.82638,0.39309,1.67771,2.536,0.90959,0.0008912,0.0008912,0.0008912
30,320.18,1.60732,2.16108,0.89075,0.92483,0.72463,0.72432,0.34649,1.82085,2.45082,0.91662,0.0008516,0.0008516,0.0008516
31,330.641,1.5132,1.85319,0.8679,0.92541,0.73083,0.75541,0.36556,1.85114,2.39029,0.92573,0.000812,0.000812,0.000812
32,341.085,1.53957,1.99018,0.90278,1,0.79431,0.86836,0.38307,1.83666,2.34059,0.92807,0.0007724,0.0007724,0.0007724
33,351.765,1.63507,1.97932,0.91495,0.98401,0.76471,0.8555,0.38357,1.8596,2.35877,0.93273,0.0007328,0.0007328,0.0007328
34,362.276,1.57135,1.83565,0.87612,0.97217,0.76471,0.82522,0.38948,1.80567,2.41129,0.9304,0.0006932,0.0006932,0.0006932
35,372.725,1.5615,1.97458,0.90679,0.98383,0.76471,0.76826,0.35842,1.787,2.39287,0.92929,0.0006536,0.0006536,0.0006536
36,383.298,1.49914,1.79813,0.86937,0.98514,0.76471,0.85533,0.39058,1.79951,2.32298,0.93268,0.000614,0.000614,0.000614
37,393.773,1.52072,1.76781,0.8609,0.98854,0.76471,0.8589,0.40146,1.76232,2.17586,0.92759,0.0005744,0.0005744,0.0005744
38,404.325,1.53086,1.78403,0.92653,0.93564,0.76471,0.92588,0.43575,1.74099,2.07013,0.92531,0.0005348,0.0005348,0.0005348
39,414.82,1.53677,1.85241,0.89756,1,0.79988,0.91713,0.42724,1.7559,2.02611,0.92767,0.0004952,0.0004952,0.0004952
40,425.299,1.5113,1.65062,0.854,1,0.80396,0.90586,0.41762,1.72752,2.01007,0.92644,0.0004556,0.0004556,0.0004556
41,435.663,1.47332,2.20866,0.89925,1,0.76418,0.86023,0.42248,1.77493,2.01976,0.93013,0.000416,0.000416,0.000416
42,446.113,1.51626,2.18498,0.91003,0.93549,0.76471,0.91313,0.41919,1.78771,2.02441,0.9254,0.0003764,0.0003764,0.0003764
43,456.538,1.51483,2.35535,0.91139,0.93312,0.82093,0.91003,0.4173,1.78042,2.02894,0.92219,0.0003368,0.0003368,0.0003368
44,466.932,1.46848,2.31417,0.89343,0.93207,0.80794,0.90814,0.42929,1.73908,2.02604,0.91722,0.0002972,0.0002972,0.0002972
45,477.303,1.42107,2.21622,0.89701,0.93196,0.80657,0.90814,0.44155,1.70651,2.00424,0.91611,0.0002576,0.0002576,0.0002576
46,487.714,1.42806,2.27563,0.92262,0.93584,0.76471,0.91361,0.43506,1.67876,1.99195,0.91626,0.000218,0.000218,0.000218
47,498.132,1.46555,2.10991,0.88495,0.9531,0.76471,0.91491,0.45117,1.66832,1.95983,0.91782,0.0001784,0.0001784,0.0001784
48,508.574,1.41144,2.0809,0.86253,0.9581,0.76471,0.90154,0.45186,1.66797,1.93758,0.91731,0.0001388,0.0001388,0.0001388
49,518.944,1.50174,2.07298,0.8904,0.97248,0.76471,0.89545,0.46005,1.68199,1.92866,0.91646,9.92e-05,9.92e-05,9.92e-05
50,529.367,1.35487,1.73623,0.88748,0.97694,0.76471,0.90153,0.46712,1.69628,1.91748,0.91825,5.96e-05,5.96e-05,5.96e-05
